,Student id,Attendance,Average,Compulsory,Subject
0,11218384,6,6.5,1.0,Java
1,11210275,9,7.7,1.0,Java
2,11218386,9,8.0,1.0,Java
3,11218387,10,9.35,1.0,Java
4,11218389,7,6.1,1.0,Java
5,11218391,7,5.65,1.0,Java
6,11218390,10,9.35,1.0,Java
7,11218392,6,8.5,1.0,Java
8,11201014,10,8.0,0.5,Java
9,11218393,9,8.85,1.0,Java
10,11218394,10,7.0,1.0,Java
11,11218447,9,8.35,0.5,Java
12,11211287,9,8.25,1.0,Java
13,11218396,5,5.3,1.0,Java
14,11211965,9,7.85,1.0,Java
15,11218399,10,8.4,1.0,Java
16,11218401,10,9.1,1.0,Java
17,11218402,9,8.3,1.0,Java
18,11212227,8,7.55,1.0,Java
19,11212229,8,7.9,1.0,Java
20,11218404,9,6.6,1.0,Java
21,11218405,7,8.8,1.0,Java
22,11218403,5,6.65,1.0,Java
23,11218407,10,10.0,1.0,Java
24,11212608,7,6.8,1.0,Java
25,11218408,6,7.6,1.0,Java
26,11218409,10,6.7,1.0,Java
27,11212455,9,8.35,1.0,Java
28,11218410,7,5.3,1.0,Java
29,11218411,10,7.9,1.0,Java
30,11201988,8,6.5,0.5,Java
31,11218412,6,7.95,1.0,Java
32,11218413,9,7.2,1.0,Java
33,11218414,7,8.4,1.0,Java
34,11218415,10,6.75,1.0,Java
35,11214142,10,6.3,1.0,Java
36,11218416,8,7.65,1.0,Java
37,11218417,7,6.25,1.0,Java
38,11215008,8,9.6,1.0,Java
39,11218419,5,6.65,1.0,Java
40,11214967,8,7.9,1.0,Java
41,11218420,10,7.0,1.0,Java
42,11218421,10,9.1,1.0,Java
43,11218422,10,8.4,1.0,Java
44,11218423,10,7.75,1.0,Java
45,11215179,10,9.1,1.0,Java
46,11218424,10,7.9,1.0,Java
47,11218425,10,8.1,1.0,Java
48,11218426,10,7.1,1.0,Java
49,11218429,9,8.15,1.0,Java
50,11218428,10,10.0,1.0,Java
51,11218431,10,9.75,1.0,Java
52,11208250,10,8.8,0.5,Java
53,11218433,8,7.7,1.0,Java
54,11218434,10,8.8,1.0,Java
55,11218435,9,6.7,1.0,Java
56,11218437,8,7.1,1.0,Java
57,11218438,8,5.35,1.0,Java
0,11218439,9,8.0,0.5,DesWeb
1,11200006,10,8.7,0.5,DesWeb
2,11207605,7,6.6,0.5,DesWeb
3,11218442,10,9.15,0.5,DesWeb
4,11218443,6,7.1,0.5,DesWeb
5,11201014,9,7.95,0.5,DesWeb
6,11218445,8,8.05,0.5,DesWeb
7,11211549,8,9.15,0.5,DesWeb
8,11218447,10,8.35,0.5,DesWeb
9,11218449,7,6.7,0.5,DesWeb
10,11200753,6,6.5,0.5,DesWeb
11,11218451,9,8.05,0.5,DesWeb
12,11218453,6,7.2,0.5,DesWeb
13,11218457,9,7.55,0.5,DesWeb
14,11218459,6,7.7,0.5,DesWeb
15,11201613,7,7.4,0.5,DesWeb
16,11218461,9,7.8,0.5,DesWeb
17,11201658,8,8.2,0.5,DesWeb
18,11218463,8,8.2,0.5,DesWeb
19,11212953,7,6.7,0.5,DesWeb
20,11218467,7,7.8,0.5,DesWeb
21,11218469,10,8.6,0.5,DesWeb
22,11213874,7,7.6,0.5,DesWeb
23,11213929,6,7.95,0.5,DesWeb
24,11218471,10,7.5,0.5,DesWeb
25,11214106,7,7.7,0.5,DesWeb
26,11214470,10,8.4,0.5,DesWeb
27,11219905,5,5.05,0.5,DesWeb
28,11219905,5,5.05,0.5,DesWeb
29,11219905,5,5.05,0.5,DesWeb
30,11218473,7,6.85,0.5,DesWeb
31,11214747,8,8.15,0.5,DesWeb
32,11218475,9,8.8,0.5,DesWeb
33,11219912,9,5.2,0.5,DesWeb
34,11218477,9,9.5,0.5,DesWeb
35,11214968,8,7.7,0.5,DesWeb
36,11203446,7,7.4,0.5,DesWeb
37,11218481,7,9.3,0.5,DesWeb
38,11215308,6,7.1,0.5,DesWeb
39,11218483,10,9.1,0.5,DesWeb
40,11203532,8,7.8,0.5,DesWeb
41,11203778,8,6.0,0.5,DesWeb
42,11218485,9,8.55,0.5,DesWeb
43,11215633,8,6.9,0.5,DesWeb
44,11215680,7,7.2,0.5,DesWeb
45,11218489,7,9.3,0.5,DesWeb
46,11216081,8,6.45,0.5,DesWeb
47,11218495,10,8.9,0.5,DesWeb
48,11216291,9,9.0,0.5,DesWeb
49,11207506,6,6.1,0.5,DesWeb
0,11200012,10,9.3,0.5,PrmWeb
1,11200094,10,7.95,0.5,PrmWeb
2,11200237,10,8.7,0.5,PrmWeb
3,11200496,7,7.0,0.5,PrmWeb
4,11200779,10,8.9,0.5,PrmWeb
5,11200763,10,8.15,0.5,PrmWeb
6,11204847,8,7.85,0.5,PrmWeb
7,11201503,9,8.3,0.5,PrmWeb
8,11201613,9,3.5,0.5,PrmWeb
9,11201619,9,6.75,0.5,PrmWeb
10,11205541,9,7.6,0.5,PrmWeb
11,11201988,10,7.5,0.5,PrmWeb
12,11202012,10,9.75,0.5,PrmWeb
13,11202057,9,7.5,0.5,PrmWeb
14,11202154,8,7.85,0.5,PrmWeb
15,11202394,10,8.25,0.5,PrmWeb
16,11202507,10,9.3,0.5,PrmWeb
17,11202682,8,8.45,0.5,PrmWeb
